Start Time,End Time,Facility Code,Participant Code,Status,Reason,Outage (MW),Recovery Time (Minutes),Description,
11/14/2016 20:00,11/14/2016 20:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.472,0,Limited output due to ambient conditions (High temperature),
11/28/2016 8:00,11/28/2016 14:30,PJRH_GT11,PJRH,Approved,Scheduled (Planned),116,2,DBP Outage,
11/29/2016 9:00,11/29/2016 16:00,PJRH_GT11,PJRH,Approved,Scheduled (Planned),123,2,Outage,
11/25/2016 10:30,11/25/2016 10:30,KORL_GT3,KORL,Approved,Opportunistic Maintenance (Planned),100.1,0,ODOM,
11/14/2016 15:30,11/14/2016 15:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.242,0,Limited output due to ambient conditions (High temperature),
11/14/2016 15:00,11/14/2016 15:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.136,0,Limited output due to ambient conditions (High temperature),
11/14/2016 14:30,11/14/2016 14:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.782,0,Limited output due to ambient conditions (High temperature),
11/14/2016 14:00,11/14/2016 14:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.908,0,Limited output due to ambient conditions (High temperature),
11/14/2016 13:30,11/14/2016 13:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.908,0,Limited output due to ambient conditions (High temperature),
11/14/2016 13:00,11/14/2016 13:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.291,0,Limited output due to ambient conditions (High temperature),
11/14/2016 12:30,11/14/2016 12:30,AURICON_PNJ_U1,AURICON,Approved,Forced,5.291,0,Limited output due to ambient conditions (High temperature),
11/14/2016 12:00,11/14/2016 12:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.937,0,Limited output due to ambient conditions (High temperature),
11/14/2016 11:30,11/14/2016 11:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.708,0,Limited output due to ambient conditions (High temperature),
11/14/2016 11:00,11/14/2016 11:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.475,0,Limited output due to ambient conditions (High temperature),
11/14/2016 10:30,11/14/2016 10:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.7,0,Limited output due to ambient conditions (High temperature),
11/14/2016 21:30,11/14/2016 21:30,PMC_AG,PMC,Approved,Forced,39.754,0,Operational issues caused real time forced outage.,
11/14/2016 15:30,11/14/2016 15:30,AURICON_PNJ_U1,AURICON,Approved,Forced,3.447,0,Output limited due to high ambient temperature,
11/14/2016 15:00,11/14/2016 15:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.53,0,Output limited due to high ambient temperature,
11/14/2016 14:30,11/14/2016 14:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.281,0,Output limited due to high ambient temperature,
11/14/2016 14:00,11/14/2016 14:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.03,0,Output limited due to high ambient temperature,
11/14/2016 13:30,11/14/2016 13:30,AURICON_PNJ_U1,AURICON,Approved,Forced,3.967,0,Output limited due to high ambient temperature,
11/14/2016 13:00,11/14/2016 13:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.155,0,Output limited due to high ambient temperature,
11/14/2016 12:30,11/14/2016 12:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.043,0,Output limited due to high ambient temperature,
11/14/2016 9:30,11/14/2016 9:30,AURICON_PNJ_U1,AURICON,Approved,Forced,13.467,,Unit ramping limited on return to service,
11/16/2016 17:00,11/16/2016 17:00,BW1_GREENWATERS_G2,GW,Approved,Forced,30.872,0,Operational Issues caused real time forced outage.,
11/16/2016 16:30,11/16/2016 16:30,BW1_GREENWATERS_G2,GW,Approved,Forced,29.003,0,Operational Issues caused real time forced outage.,
11/13/2016 9:30,11/13/2016 10:30,AURICON_PNJ_U1,AURICON,Approved,Forced,14.85,,"Investigate and conduct reports on a turbine
",
11/16/2016 15:30,11/30/2016 15:00,GRASMERE_WF1,EUCT,Approved,Forced,1.8,0,FO,
11/16/2016 11:00,11/16/2016 17:00,GRASMERE_WF1,EUCT,Approved,Consequential,13.8,0,Consequential Outage - Dispatch Advisory ID: 16828,
11/16/2016 11:00,11/16/2016 17:00,GRASMERE_WF1,EUCT,Approved,Consequential,19.8,0,Consequential Outage - Dispatch Advisory ID: 16828,
11/29/2016 16:00,12/3/2016 7:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Scheduled (Planned),40,39,GT1B outage,
11/14/2016 15:30,11/14/2016 16:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,58,,"Station in SCADA control and loading, GT1 TRIP on Grid Disturbance on Safety Integrated System Trip. ",
11/17/2016 15:30,11/18/2016 19:30,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,58,,"GSU2 found to have malicious damage with Earthing cables removed by unknown persons.
Cables replaced with external contractor.",
11/15/2016 19:30,11/15/2016 20:00,PERTHENERGY_KORL_GT1,PUG,Approved,Forced,58,,"GT2B ramping in SOCC control, FCV1101 position error trip resulting in TRIP of unit.",
11/23/2016 8:00,11/23/2016 15:00,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,0,Enable Signal was removed by Western Power due to switching on feeder. Site cannot operate without enable signal. Will request conversion to consequential.,
11/19/2016 9:00,11/19/2016 14:00,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),116,1,ODOM,
11/19/2016 6:00,11/19/2016 6:00,KORL_GT3,KORL,Approved,Forced,100.1,,FO,
11/22/2016 8:30,11/22/2016 10:00,KORL_GT3,KORL,Approved,Forced,100.1,,FO,
11/26/2016 0:30,12/10/2016 23:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Scheduled (Planned),15,39,Boiler 2 Tube Repair Outage,
12/14/2016 18:30,12/20/2016 11:30,TIWEST_COG1,TRMOS,Approved,Scheduled (Planned),42.1,0,HGPI & CD Casing Change out,
12/29/2016 8:00,12/29/2016 16:30,AURICON_PNJ_U1,AURICON,Cancelled By Market Participant,Scheduled (Planned),190,9,Routine Maintenance,
12/22/2016 8:00,12/22/2016 16:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),190,9,Routine Maintenance,
12/15/2016 8:00,12/15/2016 16:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),190,9,Routine Maintenance,
2/11/2017 18:00,2/13/2017 7:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),143,38,Blade wash,
1/7/2017 18:00,1/9/2017 7:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),143,38,Blade wash,
11/20/2016 13:30,11/20/2016 19:00,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,0,Enable signal was removed due to Western Power network issues. Site cannot operate without enable signal. Will request conversion to consequential.,
11/22/2016 8:00,11/28/2016 7:30,MELK_G7,MELK,Approved,Scheduled (Planned),211,48,Pre Summer Outage,
11/18/2016 18:30,11/18/2016 18:30,AUXC_WGP,AUXC,Approved,Forced,9.19,,Steam Power Imbalance - Refinery Issues.,
11/18/2016 18:00,11/18/2016 18:00,AUXC_WGP,AUXC,Approved,Forced,8.37,,Steam Power Imbalance - Refinery Issues.,
11/18/2016 17:30,11/18/2016 17:30,AUXC_WGP,AUXC,Approved,Forced,14.13,,Steam Power Imbalance - Refinery Issues.,
11/18/2016 17:00,11/18/2016 17:00,AUXC_WGP,AUXC,Approved,Forced,9.72,,Steam Power Imbalance - Refinery Issues.,
11/16/2016 11:00,11/16/2016 15:30,PERTHENERGY_KORL_GT1,PUG,Approved,Opportunistic Maintenance (Planned),58,1,GT2B FCV1101 (gas fuel control valve) motor replacement,
12/12/2016 10:00,12/17/2016 16:30,BW1_GREENWATERS_G2,GW,Approved,Scheduled (Planned),82,1,GT1 and GT2 Boroscope with GE personnel in attendance.,
11/27/2016 0:30,12/1/2017 23:30,ENRG_KALGOORLIE_GT3,ENRG,Cancelled By Market Participant,Scheduled (Planned),0,39,Boiler 2 tube repair outage,
11/14/2016 18:30,11/14/2016 18:30,KORL_GT3,KORL,Approved,Forced,83,,Partial FO,
11/5/2016 17:00,11/5/2016 17:00,AURICON_PNJ_U1,AURICON,Approved,Forced,41.63,0,Limited output due to ambient conditions (High temperature),
11/5/2016 16:30,11/5/2016 16:30,AURICON_PNJ_U1,AURICON,Approved,Forced,42.062,0,Limited output due to ambient conditions (High temperature),
11/5/2016 16:00,11/5/2016 16:00,AURICON_PNJ_U1,AURICON,Approved,Forced,42.889,0,Limited output due to ambient conditions (High temperature),
11/5/2016 15:30,11/5/2016 15:30,AURICON_PNJ_U1,AURICON,Approved,Forced,43.444,0,Limited output due to ambient conditions (High temperature),
11/5/2016 15:00,11/5/2016 15:00,AURICON_PNJ_U1,AURICON,Approved,Forced,42.26,0,Limited output due to ambient conditions (High temperature),
11/5/2016 17:30,11/5/2016 17:30,AURICON_PNJ_U1,AURICON,Approved,Forced,43.999,0,Limited output due to ambient conditions (High temperature),
11/5/2016 16:00,11/5/2016 16:00,AURICON_PNJ_U1,AURICON,Approved,Forced,102.039,,Limited output due to ambient conditions (High temperature),
11/22/2016 8:00,11/22/2016 8:30,PJRH_GT11,PJRH,Approved,Scheduled (Planned),116,1,Over speed Test,
12/8/2016 8:00,12/8/2016 10:30,PMC_AG,PMC,Approved,Scheduled (Planned),37.4,2,G03 OOS For Compressor Wash,
12/2/2016 8:00,12/2/2016 10:30,PMC_AG,PMC,Approved,Scheduled (Planned),37.4,2,G02 OOS For Compressor Wash,
12/1/2016 8:00,12/1/2016 10:30,PMC_AG,PMC,Approved,Scheduled (Planned),37.4,2,G01 OOS For Compressor Wash,
12/7/2016 5:30,12/7/2016 11:30,STHRNCRS_EG,STHRNCRS,Approved,Scheduled (Planned),23,3,WMK OOS For Compressor Wash,
12/7/2016 5:30,12/7/2016 11:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Scheduled (Planned),0.1,3,WMK OOS Compressor Wash,
11/8/2016 8:30,11/8/2016 8:30,BW1_GREENWATERS_G2,GW,Approved,Forced,115.307,0,Operational Issues caused real time forced outage.,
11/8/2016 8:00,11/8/2016 8:00,BW1_GREENWATERS_G2,GW,Approved,Forced,122.32,0,Operational Issues caused real time forced outage.,
12/14/2016 14:30,1/20/2017 14:00,MELK_G7,MELK,Approved,Scheduled (Planned),55,36,Cooling Tower Maintenance,
11/24/2016 8:00,11/24/2016 11:30,MUNDARING_GT1,MUND,Approved,Scheduled (Planned),38,1,PO,
11/23/2016 8:00,11/23/2016 13:00,MUNDARING_GT1,MUND,Approved,Scheduled (Planned),36,1,PO,
11/22/2016 8:00,11/22/2016 13:00,MUNDARING_GT1,MUND,Approved,Scheduled (Planned),36,1,PO,
11/2/2016 9:30,11/2/2016 15:00,GRASMERE_WF1,EUCT,Approved,Consequential,13.8,0,Consequential Outage - Dispatch Advisory ID: 16810,
11/2/2016 9:30,11/2/2016 15:00,GRASMERE_WF1,EUCT,Approved,Consequential,19.8,0,Consequential Outage - Dispatch Advisory ID: 16810,
11/12/2016 20:30,11/12/2016 21:00,PJRH_GT11,PJRH,Approved,Forced,38,,FO,
11/18/2016 21:00,11/21/2016 7:30,MELK_G7,MELK,Approved,Scheduled (Planned),211,48,Outage to enable PA Duct repairs,
11/17/2016 8:00,11/18/2016 7:30,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),41,36,Cooling Tower Cell maintenance.,
11/18/2016 8:00,11/21/2016 7:30,MELK_G7,MELK,Approved,Scheduled (Planned),41,36,Cooling Tower Cell maintenance.,
10/31/2016 15:30,11/16/2016 15:00,GRASMERE_WF1,EUCT,Approved,Forced,1.8,0,FO,
